id,feedback
1,"I absolutely love this product. The quality is excellent and delivery was very fast."
2,"The product arrived three days late and the box was damaged. I am very disappointed."
3,"Customer support was extremely helpful and solved my problem quickly. Thank you!"
4,"The application keeps crashing whenever I try to upload a file. This is very frustrating."
5,"The product is okay. It works as expected but there is nothing special about it."
6,"I received the wrong product and nobody from support has responded to my emails."
7,"The new update is fantastic. The application is much faster now."
8,"The payment failed several times and I was charged twice. Please refund the extra payment."
9,"Very happy with my purchase. The product looks exactly like the pictures."
10,"The delivery driver was rude and my package was left outside in the rain."
